,ZZ_Series,Single_episodes,part_name,resolution,link
68,the_exxxceptions,the_exxxceptions_episode_3_720p.mp4,episode_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/the_exxxceptions/zz_series_the_exxxceptions_episode_3_720p.mp4
69,the_exxxceptions,the_exxxceptions_episode_4_720p.mp4,episode_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/the_exxxceptions/zz_series_the_exxxceptions_episode_4_720p.mp4
70,vice_city_vacation,vice_city_vacation_part_one_1080p.mp4,part_one,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/vice_city_vacation/zz_series_vice_city_vacation_part_one_1080p.mp4
71,vice_city_vacation,vice_city_vacation_part_two_1080p.mp4,part_two,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/vice_city_vacation/zz_series_vice_city_vacation_part_two_1080p.mp4
72,xanders_xxx_world_tour,xanders_world_tour_episode_1_720p.mp4,episode_1,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/xanders_xxx_world_tour/zz_series_xanders_world_tour_episode_1_720p.mp4
73,xanders_xxx_world_tour,xanders_world_tour_episode_2_720p.mp4,episode_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/xanders_xxx_world_tour/zz_series_xanders_world_tour_episode_2_720p.mp4
74,xanders_xxx_world_tour,xanders_world_tour_episode_3_720p.mp4,episode_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/xanders_xxx_world_tour/zz_series_xanders_world_tour_episode_3_720p.mp4
75,xanders_xxx_world_tour,xanders_world_tour_episode_4_720p.mp4,episode_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/xanders_xxx_world_tour/zz_series_xanders_world_tour_episode_4_720p.mp4
76,zz_erection_2016,zz_erection_2016_part_1_720p.mp4,part_1,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/zz_erection_2016/zz_series_zz_erection_2016_part_1_720p.mp4
77,zz_erection_2016,zz_erection_2016_part_2_720p.mp4,part_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/zz_erection_2016/zz_series_zz_erection_2016_part_2_720p.mp4
78,zz_erection_2016,zz_erection_2016_part_3_720p.mp4,part_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/zz_erection_2016/zz_series_zz_erection_2016_part_3_720p.mp4
79,zz_erection_2016,zz_erection_2016_part_4_720p.mp4,part_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/zz_erection_2016/zz_series_zz_erection_2016_part_4_720p.mp4
